metric,measurement,timestep,episode,model,env
episode_rewards,37.98350988370549,50,0,RainbowDQNAgent,
timestep_rewards,"[0.48670156097874295, 0.2501252362617272, 1.0, 0.2, 0.646683086465012, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",50,0,RainbowDQNAgent,
moving_rewards,37.98350988370549,50,0,RainbowDQNAgent,
episode_rewards,18.002030432350086,50,1,RainbowDQNAgent,
timestep_rewards,"[1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 0.2, 0.20203043235009943, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0]",50,1,RainbowDQNAgent,
moving_rewards,27.99277015802779,50,1,RainbowDQNAgent,
episode_rewards,45.2,50,2,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2]",50,2,RainbowDQNAgent,
moving_rewards,33.72851343868519,50,2,RainbowDQNAgent,
episode_rewards,22.373077313326252,50,3,RainbowDQNAgent,
timestep_rewards,"[0.257438900215476, 0.7860326635282462, 0.43060031588620973, 0.695494830030691, 0.7409369057841246, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.8567888319460082, 0.2, 0.2, 0.6308884656529387, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2, 0.9820313302960898, 0.2, 0.2, 0.2, 0.2, 1.0, 0.978093587444512, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.9143662073301073, 1.0, 1.0, 0.9004052752118596, 0.2]",50,3,RainbowDQNAgent,
moving_rewards,30.889654407345457,50,3,RainbowDQNAgent,
episode_rewards,46.73711316871652,50,4,RainbowDQNAgent,
timestep_rewards,"[0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9371131687165188, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",50,4,RainbowDQNAgent,
moving_rewards,34.05914615961967,50,4,RainbowDQNAgent,
episode_rewards,16.52897008093771,50,5,RainbowDQNAgent,
timestep_rewards,"[0.2, 1.0, 0.32897008093772373, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",50,5,RainbowDQNAgent,
moving_rewards,31.137450146506012,50,5,RainbowDQNAgent,
episode_rewards,23.374110390032243,50,6,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 0.2, 1.0, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.7741103900322571]",50,6,RainbowDQNAgent,
moving_rewards,30.0284016098669,50,6,RainbowDQNAgent,
episode_rewards,16.615201503698536,50,7,RainbowDQNAgent,
timestep_rewards,"[0.5303390668450192, 0.2, 0.2, 0.8345954316933415, 0.2, 0.2, 0.2, 0.6358045421842349, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.952736271302507, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.6617261916734491, 0.2, 0.2, 0.2]",50,7,RainbowDQNAgent,
moving_rewards,28.351751596595854,50,7,RainbowDQNAgent,
episode_rewards,18.316197021265975,50,8,RainbowDQNAgent,
timestep_rewards,"[0.2, 0.4255248169381076, 0.6276288760760877, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.6630433282517914, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2]",50,8,RainbowDQNAgent,
moving_rewards,27.236689977114754,50,8,RainbowDQNAgent,
episode_rewards,21.258037460437574,50,9,RainbowDQNAgent,
timestep_rewards,"[1.0, 0.9234578495270128, 0.2, 0.2, 1.0, 0.8524030219077587, 1.0, 0.8831152785349318, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.59906131046789, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",50,9,RainbowDQNAgent,
moving_rewards,26.638824725447034,50,9,RainbowDQNAgent,
episode_rewards,17.840433989021562,50,10,RainbowDQNAgent,
timestep_rewards,"[0.2, 0.5182988572154897, 0.2, 0.2337735022500965, 1.0, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.4883616295559904, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 1.0, 0.2, 1.0, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1.0]",50,10,RainbowDQNAgent,
moving_rewards,25.838971022135627,50,10,RainbowDQNAgent,
episode_rewards,48.39999305123483,50,11,RainbowDQNAgent,
timestep_rewards,"[1.0, 1.0, 1.0, 1.0, 0.9999930512348328, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",50,11,RainbowDQNAgent,
moving_rewards,27.719056191227228,50,11,RainbowDQNAgent,
episode_rewards,45.10097335702332,50,12,RainbowDQNAgent,
timestep_rewards,"[0.4693973919810134, 0.2, 0.8087956648568649, 1.0, 1.0, 0.5952699696684476, 1.0, 1.0, 1.0, 1.0, 0.5088211575020722, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.47585391797939636, 1.0, 0.6428352550355327]",50,12,RainbowDQNAgent,
moving_rewards,29.05612674244231,50,12,RainbowDQNAgent,
episode_rewards,42.573400908550276,50,13,RainbowDQNAgent,
timestep_rewards,"[0.39529023759262144, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 0.5781106709576506, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0, 1.0, 0.2, 1.0, 1.0, 1.0]",50,13,RainbowDQNAgent,
moving_rewards,30.021646325735738,50,13,RainbowDQNAgent,
episode_rewards,43.46170105975361,50,14,RainbowDQNAgent,
