movieId,title,genres,violence_tag_relevance
0,Toy Story (1995),Animation|Children's|Comedy,0.243
1,Jumanji (1995),Adventure|Children's|Fantasy,0.171
2,Grumpier Old Men (1995),Comedy|Romance,0.128
3,Waiting to Exhale (1995),Comedy|Drama,0.165
4,Father of the Bride Part II (1995),Comedy,0.11199999999999999
5,Heat (1995),Action|Crime|Thriller,0.71
6,Sabrina (1995),Comedy|Romance,0.113
7,Tom and Huck (1995),Adventure|Children's,0.075
8,Sudden Death (1995),Action,0.27399999999999997
9,GoldenEye (1995),Action|Adventure|Thriller,0.353
10,"American President, The (1995)",Comedy|Drama|Romance,0.08900000000000001
11,Dracula: Dead and Loving It (1995),Comedy|Horror,0.12300000000000001
12,Balto (1995),Animation|Children's,0.11599999999999999
13,Nixon (1995),Drama,0.28300000000000003
14,Cutthroat Island (1995),Action|Adventure|Romance,0.281
15,Casino (1995),Drama|Thriller,0.9670000000000001
16,Sense and Sensibility (1995),Drama|Romance,0.096
17,Four Rooms (1995),Thriller,0.342
18,Ace Ventura: When Nature Calls (1995),Comedy,0.223
19,Money Train (1995),Action,0.128
20,Get Shorty (1995),Action|Comedy|Drama,0.502
21,Copycat (1995),Crime|Drama|Thriller,0.391
22,Assassins (1995),Thriller,0.49700000000000005
23,Powder (1995),Drama|Sci-Fi,0.162
24,Leaving Las Vegas (1995),Drama|Romance,0.484
25,Othello (1995),Drama,0.298
26,Now and Then (1995),Drama,0.092
27,Persuasion (1995),Romance,0.09300000000000001
28,"City of Lost Children, The (1995)",Adventure|Sci-Fi,0.284
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,0.47100000000000003
30,Dangerous Minds (1995),Drama,0.17800000000000002
31,Twelve Monkeys (1995),Drama|Sci-Fi,0.5589999999999999
32,Wings of Courage (1995),Adventure|Romance,0.126
33,Babe (1995),Children's|Comedy|Drama,0.132
34,Carrington (1995),Drama|Romance,0.149
35,Dead Man Walking (1995),Drama,0.474
36,Across the Sea of Time (1995),Documentary,0.358
37,It Takes Two (1995),Comedy,0.05
38,Clueless (1995),Comedy|Romance,0.11
39,"Cry, the Beloved Country (1995)",Drama,0.18899999999999997
40,Richard III (1995),Drama|War,0.27399999999999997
41,Dead Presidents (1995),Action|Crime|Drama,0.927
42,Restoration (1995),Drama,0.151
43,Mortal Kombat (1995),Action|Adventure,0.5479999999999999
44,To Die For (1995),Comedy|Drama,0.24100000000000002
45,How to Make an American Quilt (1995),Drama|Romance,0.091
46,Seven (Se7en) (1995),Crime|Thriller,0.883
47,Pocahontas (1995),Animation|Children's|Musical|Romance,0.163
48,When Night Is Falling (1995),Drama|Romance,0.09
49,"Usual Suspects, The (1995)",Crime|Thriller,0.813
50,Guardian Angel (1994),Action|Drama|Thriller,0.0
51,Mighty Aphrodite (1995),Comedy,0.27
52,Lamerica (1994),Drama,0.159
53,"Big Green, The (1995)",Children's|Comedy,0.081
54,Georgia (1995),Drama,0.196
55,Kids of the Round Table (1995),Adventure|Children's|Fantasy,0.294
56,Home for the Holidays (1995),Drama,0.15
57,"Postino, Il (The Postman) (1994)",Drama|Romance,0.11599999999999999
58,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,0.29100000000000004
59,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,0.183
60,Eye for an Eye (1996),Drama|Thriller,0.17600000000000002
61,Mr. Holland's Opus (1995),Drama,0.081
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,0.38
63,Two if by Sea (1996),Comedy|Romance,0.157
64,Bio-Dome (1996),Comedy,0.159
65,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,0.16
66,Two Bits (1995),Drama,0.08199999999999999
67,French Twist (Gazon maudit) (1995),Comedy|Romance,0.113
68,Friday (1995),Comedy,0.7140000000000001
69,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,0.966
70,Fair Game (1995),Action,0.402
71,Kicking and Screaming (1995),Comedy|Drama,0.158
72,"Misérables, Les (1995)",Drama|Musical,0.11800000000000001
73,Bed of Roses (1996),Drama|Romance,0.095
74,Big Bully (1996),Comedy|Drama,0.098
75,Screamers (1995),Sci-Fi|Thriller,0.19699999999999998
76,Nico Icon (1995),Documentary,0.222
77,"Crossing Guard, The (1995)",Drama,0.337
78,"Juror, The (1996)",Drama|Thriller,0.187
79,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,0.136
80,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,0.831
81,Antonia's Line (Antonia) (1995),Drama,0.35200000000000004
82,Once Upon a Time... When We Were Colored (1995),Drama,0.204
83,Last Summer in the Hamptons (1995),Comedy|Drama,0.11800000000000001
84,Angels and Insects (1995),Drama|Romance,0.115
85,White Squall (1996),Adventure|Drama,0.142
86,Dunston Checks In (1996),Children's|Comedy,0.131
87,Black Sheep (1996),Comedy,0.172
88,Nick of Time (1995),Action|Thriller,0.165
